date,customer_name,item,quantity,price_per_unit,status,channel
01/05/2025,สมหญิง วงศ์ดี,ชุดตกแต่งงานวันเกิด,1,850,paid,LINE
03/05/2025,นภาพร ใจดี,ลูกโป่งกลม,20,25,paid,Facebook
05/05/2025,กานดา รักสวย,ลูกโป่งหัวใจ,12,35,paid,walk-in
07/05/2025,วิไลพร สุขสันต์,ชุดตกแต่งงานแต่ง,1,2500,pending,LINE
09/05/2025,ประภาส มีสุข,ลูกโป่งกลม,50,25,paid,LINE
11/05/2025,มณีรัตน์ แก้วใส,ชุดตกแต่งงานวันเกิด,2,850,paid,Facebook
13/05/2025,อรุณี ทองดี,ลูกโป่งหัวใจ,30,35,pending,LINE
15/05/2025,สุภาพร ดวงแก้ว,ชุดตกแต่งงานแต่ง,1,3200,paid,LINE
17/05/2025,ธนพล ศรีสุข,ลูกโป่งกลม,100,20,paid,walk-in
19/05/2025,ปิยะนุช มาลี,ชุดตกแต่งงานวันเกิด,1,650,paid,Facebook
21/05/2025,รัตนา พงษ์ไพร,ลูกโป่งหัวใจ,20,35,pending,walk-in
23/05/2025,ชนิดา บุญมา,ชุดตกแต่งงานแต่ง,1,2800,paid,LINE
25/05/2025,วรรณา สีดา,ลูกโป่งกลม,30,25,paid,Facebook
27/05/2025,นิตยา พรมมา,ชุดตกแต่งงานวันเกิด,3,750,pending,LINE
29/05/2025,สายฝน อ่อนละมุน,ลูกโป่งหัวใจ,15,35,paid,walk-in
